dataelement,shortname,code,dataelementuid,dataelementdesc
"HTS_TST (N, DSD, IndexMod/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, DSD, IndexMod/Agg Age/Sex/Result)",HTC_TST_N_DSD_IndexMod_Agg_Age_Sex_Result,IVi58QZ4gRT,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, KeyPop/Result): HTS received results","HTS_TST (N, DSD, KeyPop/Result)",HTC_TST_N_DSD_KeyPop_Result,qhGxKnmrZBd,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, MobileMod/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, DSD, MobileMod/Age>10/Sex/Result)",HTC_TST_N_DSD_MobileMod_Agegt10_Sex_Result,naf1D1ziacI,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, MobileMod/AgeLessThanTen/Result): HTS received results","HTS_TST (N, DSD, MobileMod/Age<10/Result)",HTC_TST_N_DSD_MobileMod_Agelt10_Result,wTwtEhHSB8K,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, MobileMod/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, DSD, MobileMod/Agg Age/Sex/Result)",HTC_TST_N_DSD_MobileMod_Agg_Age_Sex_Result,Ssaa4v3UTWE,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, OtherMod/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, DSD, OtherMod/Age>10/Sex/Result)",HTC_TST_N_DSD_OtherMod_Agegt10_Sex_Result,C8HYhHELw9Y,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, OtherMod/AgeLessThanTen/Result): HTS received results","HTS_TST (N, DSD, OtherMod/Age<10/Result)",HTC_TST_N_DSD_OtherMod_Agelt10_Result,liUXoapqiH0,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, OtherMod/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, DSD, OtherMod/Agg Age/Sex/Result)",HTC_TST_N_DSD_OtherMod_Agg_Age_Sex_Result,a8Cru5lWRJu,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, VCTMod/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, DSD, VCTMod/Age>10/Sex/Result)",HTC_TST_N_DSD_VCTMod_Agegt10_Sex_Result,rmIoJbJYae3,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, VCTMod/AgeLessThanTen/Result): HTS received results","HTS_TST (N, DSD, VCTMod/Age<10/Result)",HTC_TST_N_DSD_VCTMod_Agelt10_Result,pIlYaNFQTQG,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, VCTMod/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, DSD, VCTMod/Agg Age/Sex/Result)",HTC_TST_N_DSD_VCTMod_Agg_Age_Sex_Result,QYRboa5qaH8,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, HomeMod/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, HomeMod/Age>10/Sex/Result)",HTC_TST_N_TA_HomeMod_Agegt10_Sex_Result,pr4AzLZDFBp,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, HomeMod/AgeLessThanTen/Result): HTS received results","HTS_TST (N, TA, HomeMod/Age<10/Result)",HTC_TST_N_TA_HomeMod_Agelt10_Result,C5lV4uVrA6r,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, HomeMod/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, TA, HomeMod/Agg Age/Sex/Result)",HTC_TST_N_TA_HomeMod_Agg_Age_Sex_Result,zt8tpcyNCmL,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA): HTS received results","HTS_TST (N, TA)",HTC_TST_N_TA,FJSew4Ks0j3,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, IndexMod/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, IndexMod/Age>10/Sex/Result)",HTC_TST_N_TA_IndexMod_Agegt10_Sex_Result,Qc5Ujm9Xqvr,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, IndexMod/AgeLessThanTen/Result): HTS received results","HTS_TST (N, TA, IndexMod/Age<10/Result)",HTC_TST_N_TA_IndexMod_Agelt10_Result,R1fMfIF3cV8,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, IndexMod/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, TA, IndexMod/Agg Age/Sex/Result)",HTC_TST_N_TA_IndexMod_Agg_Age_Sex_Result,BFeO7aJVO0i,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, KeyPop/Result): HTS received results","HTS_TST (N, TA, KeyPop/Result)",HTC_TST_N_TA_KeyPop_Result,kt5rPumWUBE,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, MobileMod/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, MobileMod/Age>10/Sex/Result)",HTC_TST_N_TA_MobileMod_Agegt10_Sex_Result,Dmvh6iv9O8k,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, MobileMod/AgeLessThanTen/Result): HTS received results","HTS_TST (N, TA, MobileMod/Age<10/Result)",HTC_TST_N_TA_MobileMod_Agelt10_Result,SjaWr8VFS8l,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, MobileMod/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, TA, MobileMod/Agg Age/Sex/Result)",HTC_TST_N_TA_MobileMod_Agg_Age_Sex_Result,Ggyo79FgFP4,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, OtherMod/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, OtherMod/Age>10/Sex/Result)",HTC_TST_N_TA_OtherMod_Agegt10_Sex_Result,abAKAWyjJNP,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, OtherMod/AgeLessThanTen/Result): HTS received results","HTS_TST (N, TA, OtherMod/Age<10/Result)",HTC_TST_N_TA_OtherMod_Agelt10_Result,TPrLcVlTBcw,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, OtherMod/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, TA, OtherMod/Agg Age/Sex/Result)",HTC_TST_N_TA_OtherMod_Agg_Age_Sex_Result,hVUZ9bdWgtJ,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, VCTMod/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, VCTMod/Age>10/Sex/Result)",HTC_TST_N_TA_VCTMod_Agegt10_Sex_Result,Nzmlz5Ryudh,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, VCTMod/AgeLessThanTen/Result): HTS received results","HTS_TST (N, TA, VCTMod/Age<10/Result)",HTC_TST_N_TA_VCTMod_Agelt10_Result,XhrfS1HShsS,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, VCTMod/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, TA, VCTMod/Agg Age/Sex/Result)",HTC_TST_N_TA_VCTMod_Agg_Age_Sex_Result,z2bvxa00AQ6,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"KP_PREV (D, DSD, KeyPop) v2: Key Pop Preventive","KP_PREV (D, DSD, KeyPop) v2",KP_PREV_D_DSD_KeyPop_v2,PhZSAkHnEXY,"Total estimated number of key populations in the catchment area."
"KP_PREV (D, TA, KeyPop) v2: Key Pop Preventive","KP_PREV (D, TA, KeyPop) v2",KP_PREV_D_TA_KeyPop_v2,IP7rgFonJAw,"Total estimated number of key populations in the catchment area."
"KP_PREV (N, DSD, KeyPop/Status): Key Pop Preventive","KP_PREV (N, DSD, KeyPop/Status)",KP_PREV_N_DSD_KeyPop_Status,VvfafEGUJ57,"Number of key populations reached with individual and/or small group level HIV prevention interventions designed for the target population."
"KP_PREV (N, DSD, KeyPop) v2: Key Pop Preventive","KP_PREV (N, DSD, KeyPop) v2",KP_PREV_N_DSD_KeyPop_v2,tUgHu5sqgNu,"Number of key populations reached with individual and/or small group level HIV prevention interventions designed for the target population."
"KP_PREV (N, TA, KeyPop/Status): Key Pop Preventive","KP_PREV (N, TA, KeyPop/Status)",KP_PREV_N_TA_KeyPop_Status,EWuJO3nXFmN,"Number of key populations reached with individual and/or small group level HIV prevention interventions designed for the target population."
"KP_PREV (N, TA, KeyPop) v2: Key Pop Preventive","KP_PREV (N, TA, KeyPop) v2",KP_PREV_N_TA_KeyPop_v2,RCD40Nua4Kg,"Number of key populations reached with individual and/or small group level HIV prevention interventions designed for the target population."
"OVC_HIVSTAT (N, DSD, ReportedStatus): OVC Disclosed Known HIV Status","OVC_HIVSTAT (N, DSD, ReportedStatus)",OVC_HIVSTAT_N_DSD_ReportedStatus,BoiTgHlqBmn,"Number of OVC with HIV status reported to implementing partner (including status not reported)."
"OVC_HIVSTAT (N, DSD, StatusNotRep): OVC Disclosed Known HIV Status","OVC_HIVSTAT (N, DSD, StatusNotRep)",OVC_HIVSTAT_N_DSD_StatusNotRep,d9vLyfqjcni,"Number of OVC with HIV status reported to implementing partner (including status not reported)."
"OVC_HIVSTAT (N, DSD, StatusPosART): OVC Disclosed Known HIV Status","OVC_HIVSTAT (N, DSD, StatusPosART)",OVC_HIVSTAT_N_DSD_StatusPosART,b92twVD6hUk,"Number of OVC with HIV status reported to implementing partner (including status not reported)."
"OVC_HIVSTAT (N, TA, ReportedStatus): OVC Disclosed Known HIV Status","OVC_HIVSTAT (N, TA, ReportedStatus)",OVC_HIVSTAT_N_TA_ReportedStatus,csWHiaLI8ul,"Number of OVC with HIV status reported to implementing partner (including status not reported)."
"OVC_HIVSTAT (N, TA, StatusNotRep): OVC Disclosed Known HIV Status","OVC_HIVSTAT (N, TA, StatusNotRep)",OVC_HIVSTAT_N_TA_StatusNotRep,ou8g7dFQdw9,"Number of OVC with HIV status reported to implementing partner (including status not reported)."
"OVC_HIVSTAT (N, TA, StatusPosART): OVC Disclosed Known HIV Status","OVC_HIVSTAT (N, TA, StatusPosART)",OVC_HIVSTAT_N_TA_StatusPosART,AyUMUzXOqqN,"Number of OVC with HIV status reported to implementing partner (including status not reported)."
"OVC_SERV (N, DSD, AgeAboveTen/Sex): Beneficiaries Served","OVC_SERV (N, DSD, Age>10/Sex)",OVC_SERV_N_DSD_Agegt10_Sex,MlEGf3s4qnP,"Number of beneficiaries served by PEPFAR OVC programs for children and families affected by HIV/AIDs."
"OVC_SERV (N, DSD, AgeLessThanTen): Beneficiaries Served","OVC_SERV (N, DSD, Age<10)",OVC_SERV_N_DSD_Agelt10,H56VDyoQUPz,"Number of beneficiaries served by PEPFAR OVC programs for children and families affected by HIV/AIDs."
"OVC_SERV (N, DSD, Age/Sex/Service) v2: Beneficiaries Served","OVC_SERV (N, DSD, Age/Sex/Service) v2",OVC_SERV_N_DSD_Age_Sex_Service_v2,L40fmKr8dEc,"Number of beneficiaries served by PEPFAR OVC programs for children and families affected by HIV/AIDs."
"OVC_SERV (N, DSD, ProgramStatus): Beneficiaries Served","OVC_SERV (N, DSD, ProgramStatus)",OVC_SERV_N_DSD_ProgramStatus,Bu0Uo84SyoW,"Number of beneficiaries served by PEPFAR OVC programs for children and families affected by HIV/AIDs."
"OVC_SERV (N, TA, AgeAboveTen/Sex): Beneficiaries Served","OVC_SERV (N, TA, Age>10/Sex)",OVC_SERV_N_TA_Agegt10_Sex,wm2ocnnsTmn,"Number of beneficiaries served by PEPFAR OVC programs for children and families affected by HIV/AIDs."
"OVC_SERV (N, TA, AgeLessThanTen): Beneficiaries Served","OVC_SERV (N, TA, Age<10)",OVC_SERV_N_TA_Agelt10,FyaaI1vsF9S,"Number of beneficiaries served by PEPFAR OVC programs for children and families affected by HIV/AIDs."
"OVC_SERV (N, TA, Age/Sex/Service) v2: Beneficiaries Served","OVC_SERV (N, TA, Age/Sex/Service) v2",OVC_SERV_N_TA_Age_Sex_Service_v2,OM7rJejJPt8,"Number of beneficiaries served by PEPFAR OVC programs for children and families affected by HIV/AIDs."
"OVC_SERV (N, TA, ProgramStatus): Beneficiaries Served","OVC_SERV (N, TA, ProgramStatus)",OVC_SERV_N_TA_ProgramStatus,V1R1kKhguKt,"Number of beneficiaries served by PEPFAR OVC programs for children and families affected by HIV/AIDs."
"PP_PREV (D, DSD, Age/Sex): People Targeted","PP_PREV (D, DSD, Age/Sex)",PP_PREV_D_DSD_Age_Sex,zkqWMKWKxgY,"Total number of people in priority populations"
"PP_PREV (D, DSD): People Targeted","PP_PREV (D, DSD)",GPY_PREV_D_DSD,PyMvM5SD0lC,"Total number of people in priority populations"
"PP_PREV (D, TA, Age/Sex): People Targeted","PP_PREV (D, TA, Age/Sex)",PP_PREV_D_TA_Age_Sex,af6t8RYm4GQ,"Total number of people in priority populations"
"PP_PREV (D, TA): People Targeted","PP_PREV (D, TA)",GPY_PREV_D_TA,ln7rFjFdFQG,"Total number of people in priority populations"
"PP_PREV (N, DSD, Age/Sex): HIV Prevention Program","PP_PREV (N, DSD, Age/Sex)",GPY_PREV_N_DSD_Age_Sex,JZ2kMOYPBwr,"Number of the target population who completed a standardized HIV prevention program that are based on evidence and meet the minimum standards required."
"PP_PREV (N, DSD): HIV Prevention Program","PP_PREV (N, DSD)",GPY_PREV_N_DSD,Wtwp9L0mcFy,"Number of the target population who completed a standardized HIV prevention program that are based on evidence and meet the minimum standards required."
"PP_PREV (N, DSD, Status): HIV Prevention Program","PP_PREV (N, DSD, Status)",PP_PREV_N_DSD_Status,ZL7ThaUr1Bv,"Number of the target population who completed a standardized HIV prevention program that are based on evidence and meet the minimum standards required."
"PP_PREV (N, TA, Age/Sex): HIV Prevention Program","PP_PREV (N, TA, Age/Sex)",GPY_PREV_N_TA_Age_Sex,l6ZnqMXHLgN,"Number of the target population who completed a standardized HIV prevention program that are based on evidence and meet the minimum standards required."
"PP_PREV (N, TA): HIV Prevention Program","PP_PREV (N, TA)",GPY_PREV_N_TA,TGxHgx4c4Zi,"Number of the target population who completed a standardized HIV prevention program that are based on evidence and meet the minimum standards required."
"PP_PREV (N, TA, Status): HIV Prevention Program","PP_PREV (N, TA, Status)",PP_PREV_N_TA_Status,CIveKAc3CFx,"Number of the target population who completed a standardized HIV prevention program that are based on evidence and meet the minimum standards required."
"EMR_SITE (N, NoApp, ANC): Services Offered","EMR_SITE (N, NoApp, ANC)",EMR_SITE_N_NoApp_ANC,qRZFJPa4AYT,"Do the following service delivery points supported by your organization have an electronic medical record?"
"EMR_SITE (N, NoApp, CareAndTreatment): Services Offered","EMR_SITE (N, NoApp, CareAndTreatment)",EMR_SITE_N_NoApp_CareAndTreatment,TJ831Jweykw,"Do the following service delivery points supported by your organization have an electronic medical record?"
"EMR_SITE (N, NoApp, Early Infant UFC): Services Offered","EMR_SITE (N, NoApp, Early Infant UFC)",EMR_SITE_N_NoApp_Early_Infant_UFC,iu938vM5JP1,"Do the following service delivery points supported by your organization have an electronic medical record?"
"EMR_SITE (N, NoApp, HIVTestingServices): Services Offered","EMR_SITE (N, NoApp, HIVTestingServices)",EMR_SITE_N_NoApp_HIVTestingServices,Uya7oFYGlZ5,"Do the following service delivery points supported by your organization have an electronic medical record?"
"FPINT_SITE (N, NoApp, Antenatal Care andor Maternity Services): Providing voluntary FPS","FPINT_SITE (N, NoApp, ANC or Maturnity Svcs)",FPINT_SITE_N_NoApp_ANC_or_Maturnity_Svcs,BscUJCjWLhf,"Do the following service delivery points supported by your organization directly provide integrated voluntary family planning services?"
"FPINT_SITE (N, NoApp, Care and Treatment): Providing voluntary FPS","FPINT_SITE (N, NoApp, Care and Treatment)",FPINT_SITE_N_NoApp_Care_and_Treatment,h0R3WLFj7Vu,"Do the following service delivery points supported by your organization directly provide integrated voluntary family planning services?"
"FPINT_SITE (N, NoApp, HIV Testing): Providing voluntary FPS","FPINT_SITE (N, NoApp, HIV Testing)",FPINT_SITE_N_NoApp_HIV_Testing,qKfj8u1AwcP,"Do the following service delivery points supported by your organization directly provide integrated voluntary family planning services?"
"FPINT_SITE (N, NoApp, Key Populations Services): Providing voluntary FPS","FPINT_SITE (N, NoApp, KeyPop Svcs)",FPINT_SITE_N_NoApp_KeyPop_Svcs,cCjjEtdITPX,"Do the following service delivery points supported by your organization directly provide integrated voluntary family planning services?"
"FPINT_SITE (N, NoApp, Priority Population Prevention Services): Providing voluntary FPS","FPINT_SITE (N, NoApp, PPP Svcs)",FPINT_SITE_N_NoApp_PPP_Svcs,UErZSPHOzjG,"Do the following service delivery points supported by your organization directly provide integrated voluntary family planning services?"
"HRH_STAFF (N, NoApp, CadreCategory): Health Workers","HRH_STAFF (N, NoApp, CadreCategory)",HRH_STAFF_N_NoApp_CadreCategory,Kk4CdspETNQ,"Total number of health care workers working in HIV service delivery at PEPFAR-supported clinical facility sites. Total will auto-calculate from the Cadre Disaggregates."
"HTS_TST (N, DSD, Index/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, DSD, Index/Age>10/Sex/Result)",HTC_TST_N_DSD_Index_Agegt10_Sex_Result,BtRz9Luy8Ui,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, Index/AgeLessThanTen/Result): HTS received results","HTS_TST (N, DSD, Index/Age<10/Result)",HTC_TST_N_DSD_Index_Agelt10_Result,DqRTIrYjt58,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, Index/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, DSD, Index/Agg Age/Sex/Result)",HTC_TST_N_DSD_Index_Agg_Age_Sex_Result,LqtNQ0cUHgc,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, Inpat/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, DSD, Inpat/Age>10/Sex/Result)",HTC_TST_N_DSD_Inpat_Agegt10_Sex_Result,fwzcu3dtKrG,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, Inpat/AgeLessThanTen/Result): HTS received results","HTS_TST (N, DSD, Inpat/Age<10/Result)",HTC_TST_N_DSD_Inpat_Agelt10_Result,EI9jjScxHLI,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, Inpat/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, DSD, Inpat/Agg Age/Sex/Result)",HTC_TST_N_DSD_Inpat_Agg_Age_Sex_Result,mKI4Imeb0H8,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, Malnutrition/Result/<5): HTS received results","HTS_TST (N, DSD, Malnutrition/Result/<5)",HTC_TST_N_DSD_Malnutrition_Result_lt5,MTv9K3HG7qr,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, OtherPITC/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, DSD, OtherPITC/Age>10/Sex/Result)",HTC_TST_N_DSD_OtherPITC_Agegt10_Sex_Result,sqvgFXuNWTB,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, OtherPITC/AgeLessThanTen/Result): HTS received results","HTS_TST (N, DSD, OtherPITC/Age<10/Result)",HTC_TST_N_DSD_OtherPITC_Agelt10_Result,mYgs3qdwZol,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, OtherPITC/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, DSD, OtherPITC/Agg Age/Sex/Result)",HTC_TST_N_DSD_OtherPITC_Agg_Age_Sex_Result,ldohCByGsC2,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, Pediatric/Result/<5): HTS received results","HTS_TST (N, DSD, Pediatric/Result/<5)",HTC_TST_N_DSD_Pediatric_Result_lt5,PePG9SiJmIo,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, PMTCT ANC/Age/Female/Result): HTS received results","HTS_TST (N, DSD, PMTCT ANC/Age/F/Result)",HTC_TST_N_DSD_PMTCT_ANC_Age_F_Result,lSijgGXIX5u,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, PMTCT ANC/Aggregated Age/Female/Result): HTS received results","HTS_TST (N, DSD, PMTCT ANC/Agg Age/F/Result)",HTC_TST_N_DSD_PMTCT_ANC_Agg_Age_F_Result,CNWQItjMm8v,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, TBClinic/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, DSD, TBClinic/Age>10/Sex/Result)",HTC_TST_N_DSD_TBClinic_Agegt10_Sex_Result,C1gSi8H6zp3,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, TBClinic/AgeLessThanTen/Result): HTS received results","HTS_TST (N, DSD, TBClinic/Age<10/Result)",HTC_TST_N_DSD_TBClinic_Agelt10_Result,BSqQqWVZkWn,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, TBClinic/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, DSD, TBClinic/Agg Age/Sex/Result)",HTC_TST_N_DSD_TBClinic_Agg_Age_Sex_Result,G73xmUoP5mP,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, VCT/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, DSD, VCT/Age>10/Sex/Result)",HTC_TST_N_DSD_VCT_Agegt10_Sex_Result,HClygqtgRlE,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, VCT/AgeLessThanTen/Result): HTS received results","HTS_TST (N, DSD, VCT/Age<10/Result)",HTC_TST_N_DSD_VCT_Agelt10_Result,vy6rXovePNZ,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, VCT/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, DSD, VCT/Agg Age/Sex/Result)",HTC_TST_N_DSD_VCT_Agg_Age_Sex_Result,h5Td1TsyndR,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, VMMC/Age/Male/Result): HTS received results","HTS_TST (N, DSD, VMMC/Age/M/Result)",HTC_TST_N_DSD_VMMC_Age_M_Result,ZfLcareJqZN,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, DSD, VMMC/Aggregated Age/Male/Result): HTS received results","HTS_TST (N, DSD, VMMC/Agg Age/M/Result)",HTC_TST_N_DSD_VMMC_Agg_Age_M_Result,oc5BUGoR9H7,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, Index/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Age>10/Sex/Result)",HTC_TST_N_TA_Index_Agegt10_Sex_Result,N8Uro2XMHnE,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, Index/AgeLessThanTen/Result): HTS received results","HTS_TST (N, TA, Index/Age<10/Result)",HTC_TST_N_TA_Index_Agelt10_Result,qRiqUriWljj,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, Index/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Agg Age/Sex/Result)",HTC_TST_N_TA_Index_Agg_Age_Sex_Result,L6q82WmpJvd,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, Inpat/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, Inpat/Age>10/Sex/Result)",HTC_TST_N_TA_Inpat_Agegt10_Sex_Result,jcfaz8rZO96,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
"HTS_TST (N, TA, Inpat/AgeLessThanTen/Result): HTS received results","HTS_TST (N, TA, Inpat/Age<10/Result)",HTC_TST_N_TA_Inpat_Agelt10_Result,Qungkf2mNf1,"Number of individuals who received HIV Testing Services (HTS) and received their test results."
