dataelement,shortname,code,dataelementuid,dataelementdesc,categoryoptioncombo,categoryoptioncombocode,categoryoptioncombouid
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","15-19, Male, Sexual Violence (Post-Rape Care)",kIFOYXcYrSv,kIFOYXcYrSv
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","20-24, Female, Physical and/or Emotional Violence",J8Fnx6xD1II,J8Fnx6xD1II
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","20-24, Female, Sexual Violence (Post-Rape Care)",aD6FYpQkjV5,aD6FYpQkjV5
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","20-24, Male, Physical and/or Emotional Violence",GY8J6IbwDaO,GY8J6IbwDaO
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","20-24, Male, Sexual Violence (Post-Rape Care)",AiAxBVTew6g,AiAxBVTew6g
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","25-49, Female, Physical and/or Emotional Violence",snyJqXuhVBa,snyJqXuhVBa
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","25-49, Female, Sexual Violence (Post-Rape Care)",uFfD1rY2qqB,uFfD1rY2qqB
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","25-49, Male, Physical and/or Emotional Violence",pi3KutFLb7K,pi3KutFLb7K
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","25-49, Male, Sexual Violence (Post-Rape Care)",h1bawAQfgq3,h1bawAQfgq3
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","50+, Female, Physical and/or Emotional Violence",eKIFDPAHO1E,eKIFDPAHO1E
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","50+, Female, Sexual Violence (Post-Rape Care)",VWvNPjCZqZn,VWvNPjCZqZn
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","50+, Male, Physical and/or Emotional Violence",oktKqhgo6TL,oktKqhgo6TL
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","50+, Male, Sexual Violence (Post-Rape Care)",cKdscjneUim,cKdscjneUim
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","Unknown Age, Female, Physical and/or Emotional Violence",hqD9LQWdt2E,hqD9LQWdt2E
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","Unknown Age, Female, Sexual Violence (Post-Rape Care)",gz8u5oZykJh,gz8u5oZykJh
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","Unknown Age, Male, Physical and/or Emotional Violence",dOelgJvmeu6,dOelgJvmeu6
"GEND_GBV (N, DSD, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, DSD, Age/Sex/ViolenceType)",GEND_GBV_N_DSD_Age_Sex_ViolenceType,QJqddKijlCO,"Number of people receiving post-GBV clinical care based on the minimum package","Unknown Age, Male, Sexual Violence (Post-Rape Care)",kozA0MvtwMv,kozA0MvtwMv
"GEND_GBV (N, DSD): GBV Care","GEND_GBV (N, DSD)",GEND_GBV_N_DSD,pWTXzF2L8lG,"Number of people receiving post-GBV clinical care based on the minimum package",default,HllvX50cXC0,HllvX50cXC0
"GEND_GBV (N, DSD, PEP): GBV Care","GEND_GBV (N, DSD, PEP)",GEND_GBV_N_DSD_PEP,iTrUBtHPoVg,"Number of people receiving post-GBV clinical care based on the minimum package",default,HllvX50cXC0,HllvX50cXC0
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","10-14, Female, Physical and/or Emotional Violence",vESK0xjDe0E,vESK0xjDe0E
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","10-14, Female, Sexual Violence (Post-Rape Care)",uPN2d5mMfjI,uPN2d5mMfjI
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","10-14, Male, Physical and/or Emotional Violence",MHLgKWuwvRs,MHLgKWuwvRs
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","10-14, Male, Sexual Violence (Post-Rape Care)",sZAKG8tMqiE,sZAKG8tMqiE
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","<10, Female, Physical and/or Emotional Violence",RdDGvupJ4Ai,RdDGvupJ4Ai
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","<10, Female, Sexual Violence (Post-Rape Care)",Tfv27ett4Uw,Tfv27ett4Uw
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","<10, Male, Physical and/or Emotional Violence",oPjsZYe80iY,oPjsZYe80iY
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","<10, Male, Sexual Violence (Post-Rape Care)",CbAtcYO2zzy,CbAtcYO2zzy
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","15-19, Female, Physical and/or Emotional Violence",oW6Lx7wX25h,oW6Lx7wX25h
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","15-19, Female, Sexual Violence (Post-Rape Care)",NBWhwidiXcG,NBWhwidiXcG
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","15-19, Male, Physical and/or Emotional Violence",UsudmHdPSRb,UsudmHdPSRb
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","15-19, Male, Sexual Violence (Post-Rape Care)",kIFOYXcYrSv,kIFOYXcYrSv
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","20-24, Female, Physical and/or Emotional Violence",J8Fnx6xD1II,J8Fnx6xD1II
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","20-24, Female, Sexual Violence (Post-Rape Care)",aD6FYpQkjV5,aD6FYpQkjV5
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","20-24, Male, Physical and/or Emotional Violence",GY8J6IbwDaO,GY8J6IbwDaO
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","20-24, Male, Sexual Violence (Post-Rape Care)",AiAxBVTew6g,AiAxBVTew6g
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","25-49, Female, Physical and/or Emotional Violence",snyJqXuhVBa,snyJqXuhVBa
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","25-49, Female, Sexual Violence (Post-Rape Care)",uFfD1rY2qqB,uFfD1rY2qqB
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","25-49, Male, Physical and/or Emotional Violence",pi3KutFLb7K,pi3KutFLb7K
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","25-49, Male, Sexual Violence (Post-Rape Care)",h1bawAQfgq3,h1bawAQfgq3
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","50+, Female, Physical and/or Emotional Violence",eKIFDPAHO1E,eKIFDPAHO1E
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","50+, Female, Sexual Violence (Post-Rape Care)",VWvNPjCZqZn,VWvNPjCZqZn
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","50+, Male, Physical and/or Emotional Violence",oktKqhgo6TL,oktKqhgo6TL
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","50+, Male, Sexual Violence (Post-Rape Care)",cKdscjneUim,cKdscjneUim
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","Unknown Age, Female, Physical and/or Emotional Violence",hqD9LQWdt2E,hqD9LQWdt2E
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","Unknown Age, Female, Sexual Violence (Post-Rape Care)",gz8u5oZykJh,gz8u5oZykJh
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","Unknown Age, Male, Physical and/or Emotional Violence",dOelgJvmeu6,dOelgJvmeu6
"GEND_GBV (N, TA, Age/Sex/ViolenceType): GBV Care","GEND_GBV (N, TA, Age/Sex/ViolenceType)",GEND_GBV_N_TA_Age_Sex_ViolenceType,TTYD3oBqpEW,"Number of people receiving post-GBV clinical care based on the minimum package","Unknown Age, Male, Sexual Violence (Post-Rape Care)",kozA0MvtwMv,kozA0MvtwMv
"GEND_GBV (N, TA): GBV Care","GEND_GBV (N, TA)",GEND_GBV_N_TA,sIagQEZjSyy,"Number of people receiving post-GBV clinical care based on the minimum package",default,HllvX50cXC0,HllvX50cXC0
"GEND_GBV (N, TA, PEP): GBV Care","GEND_GBV (N, TA, PEP)",GEND_GBV_N_TA_PEP,mCer3amuijr,"Number of people receiving post-GBV clinical care based on the minimum package",default,HllvX50cXC0,HllvX50cXC0
"HRH_CURR (N, DSD, CadreCategory/FinancialSupport): Health Workers","HRH_CURR (N, DSD, CadreCat/FinancialSprt)",HRH_CURR_N_DSD_CadreCat_FinancialSprt,XL1jnbmgXje,"Number of PEPFAR-supported health workers","Clinical, Non-Monetary",amcMmQaGHZ0,amcMmQaGHZ0
"HRH_CURR (N, DSD, CadreCategory/FinancialSupport): Health Workers","HRH_CURR (N, DSD, CadreCat/FinancialSprt)",HRH_CURR_N_DSD_CadreCat_FinancialSprt,XL1jnbmgXje,"Number of PEPFAR-supported health workers","Clinical, Salary",lcEoncRc5Yt,lcEoncRc5Yt
"HRH_CURR (N, DSD, CadreCategory/FinancialSupport): Health Workers","HRH_CURR (N, DSD, CadreCat/FinancialSprt)",HRH_CURR_N_DSD_CadreCat_FinancialSprt,XL1jnbmgXje,"Number of PEPFAR-supported health workers","Clinical, Stipend",j53J4R7GFQV,j53J4R7GFQV
"HRH_CURR (N, DSD, CadreCategory/FinancialSupport): Health Workers","HRH_CURR (N, DSD, CadreCat/FinancialSprt)",HRH_CURR_N_DSD_CadreCat_FinancialSprt,XL1jnbmgXje,"Number of PEPFAR-supported health workers","Clinical Support, Non-Monetary",gM511Ccfn0j,gM511Ccfn0j
"HRH_CURR (N, DSD, CadreCategory/FinancialSupport): Health Workers","HRH_CURR (N, DSD, CadreCat/FinancialSprt)",HRH_CURR_N_DSD_CadreCat_FinancialSprt,XL1jnbmgXje,"Number of PEPFAR-supported health workers","Clinical Support, Salary",DOwfGvVn9ck,DOwfGvVn9ck
"HRH_CURR (N, DSD, CadreCategory/FinancialSupport): Health Workers","HRH_CURR (N, DSD, CadreCat/FinancialSprt)",HRH_CURR_N_DSD_CadreCat_FinancialSprt,XL1jnbmgXje,"Number of PEPFAR-supported health workers","Clinical Support, Stipend",ua5IEJcXKSZ,ua5IEJcXKSZ
"HRH_CURR (N, DSD, CadreCategory/FinancialSupport): Health Workers","HRH_CURR (N, DSD, CadreCat/FinancialSprt)",HRH_CURR_N_DSD_CadreCat_FinancialSprt,XL1jnbmgXje,"Number of PEPFAR-supported health workers","Lay, Non-Monetary",CXYUkjSk3gC,CXYUkjSk3gC
"HRH_CURR (N, DSD, CadreCategory/FinancialSupport): Health Workers","HRH_CURR (N, DSD, CadreCat/FinancialSprt)",HRH_CURR_N_DSD_CadreCat_FinancialSprt,XL1jnbmgXje,"Number of PEPFAR-supported health workers","Lay, Salary",xh2pAMw81mS,xh2pAMw81mS
"HRH_CURR (N, DSD, CadreCategory/FinancialSupport): Health Workers","HRH_CURR (N, DSD, CadreCat/FinancialSprt)",HRH_CURR_N_DSD_CadreCat_FinancialSprt,XL1jnbmgXje,"Number of PEPFAR-supported health workers","Lay, Stipend",z8uoJOcMd8n,z8uoJOcMd8n
"HRH_CURR (N, DSD, CadreCategory/FinancialSupport): Health Workers","HRH_CURR (N, DSD, CadreCat/FinancialSprt)",HRH_CURR_N_DSD_CadreCat_FinancialSprt,XL1jnbmgXje,"Number of PEPFAR-supported health workers","Management, Non-Monetary",cskUzbj4asc,cskUzbj4asc
"HRH_CURR (N, DSD, CadreCategory/FinancialSupport): Health Workers","HRH_CURR (N, DSD, CadreCat/FinancialSprt)",HRH_CURR_N_DSD_CadreCat_FinancialSprt,XL1jnbmgXje,"Number of PEPFAR-supported health workers","Management, Salary",Ktp5As6zWxl,Ktp5As6zWxl
"HRH_CURR (N, DSD, CadreCategory/FinancialSupport): Health Workers","HRH_CURR (N, DSD, CadreCat/FinancialSprt)",HRH_CURR_N_DSD_CadreCat_FinancialSprt,XL1jnbmgXje,"Number of PEPFAR-supported health workers","Management, Stipend",rMgmbJPMxw2,rMgmbJPMxw2
"HRH_CURR (N, DSD, CadreCategory/FinancialSupport): Health Workers","HRH_CURR (N, DSD, CadreCat/FinancialSprt)",HRH_CURR_N_DSD_CadreCat_FinancialSprt,XL1jnbmgXje,"Number of PEPFAR-supported health workers","Other, Non-Monetary",YAofbwYDMFf,YAofbwYDMFf
"HRH_CURR (N, DSD, CadreCategory/FinancialSupport): Health Workers","HRH_CURR (N, DSD, CadreCat/FinancialSprt)",HRH_CURR_N_DSD_CadreCat_FinancialSprt,XL1jnbmgXje,"Number of PEPFAR-supported health workers","Other, Salary",PDCEdxrmbWc,PDCEdxrmbWc
"HRH_CURR (N, DSD, CadreCategory/FinancialSupport): Health Workers","HRH_CURR (N, DSD, CadreCat/FinancialSprt)",HRH_CURR_N_DSD_CadreCat_FinancialSprt,XL1jnbmgXje,"Number of PEPFAR-supported health workers","Other, Stipend",r8CF58PRLMk,r8CF58PRLMk
"HRH_CURR (N, DSD, CadreCategory/FinancialSupport): Health Workers","HRH_CURR (N, DSD, CadreCat/FinancialSprt)",HRH_CURR_N_DSD_CadreCat_FinancialSprt,XL1jnbmgXje,"Number of PEPFAR-supported health workers","Social Service, Non-Monetary",nt6Mv9rOBFP,nt6Mv9rOBFP
"HRH_CURR (N, DSD, CadreCategory/FinancialSupport): Health Workers","HRH_CURR (N, DSD, CadreCat/FinancialSprt)",HRH_CURR_N_DSD_CadreCat_FinancialSprt,XL1jnbmgXje,"Number of PEPFAR-supported health workers","Social Service, Salary",iAQmGQJLuJi,iAQmGQJLuJi
"HRH_CURR (N, DSD, CadreCategory/FinancialSupport): Health Workers","HRH_CURR (N, DSD, CadreCat/FinancialSprt)",HRH_CURR_N_DSD_CadreCat_FinancialSprt,XL1jnbmgXje,"Number of PEPFAR-supported health workers","Social Service, Stipend",Os4enuLPVkA,Os4enuLPVkA
"HTS_TST (N, DSD, HomeMod/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, DSD, HomeMod/Age>10/Sex/Result)",HTC_TST_N_DSD_HomeMod_Agegt10_Sex_Result,d69rFCjz0TE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","10-14, Female, Negative",TDHx9BOctLY,TDHx9BOctLY
"HTS_TST (N, DSD, HomeMod/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, DSD, HomeMod/Age>10/Sex/Result)",HTC_TST_N_DSD_HomeMod_Agegt10_Sex_Result,d69rFCjz0TE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","10-14, Female, Positive",pPoX6WdTN1o,pPoX6WdTN1o
"HTS_TST (N, DSD, HomeMod/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, DSD, HomeMod/Age>10/Sex/Result)",HTC_TST_N_DSD_HomeMod_Agegt10_Sex_Result,d69rFCjz0TE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","10-14, Male, Negative",XgKovS7fFRx,XgKovS7fFRx
"HTS_TST (N, DSD, HomeMod/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, DSD, HomeMod/Age>10/Sex/Result)",HTC_TST_N_DSD_HomeMod_Agegt10_Sex_Result,d69rFCjz0TE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","10-14, Male, Positive",oTktnIbDgWE,oTktnIbDgWE
"HTS_TST (N, DSD, HomeMod/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, DSD, HomeMod/Age>10/Sex/Result)",HTC_TST_N_DSD_HomeMod_Agegt10_Sex_Result,d69rFCjz0TE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","15-19, Female, Negative",HsMbK8KguaI,HsMbK8KguaI
